,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
11,,"Jass Lourido",pfbid0hzXjLgQToK53ZwnhqGcg6F6iQou7fiUogCss7YjUZpfXenit6Hx7EkZ3KqotHeXil,"2024-10-25 07:12:34",22,-,"Por qué mejor no nos dejan sin luz las 24  horas ???",,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.30808-1/440948169_279224878591787_2345270457253076325_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=105&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=UOm4oYrzF5IQ7kNvgHJVeRT&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBbgB7rXq41dKMw_Oq7ioiHmCEKibL1-szVSo2IoBr1MQ&oe=6742DCCD,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/410803725247131
12,,"María Emilia Rivera",pfbid0iJmYGXSpqN6QXZpVvpN1fmWfSo3YBK9V9Tixqnbyjhwjbg7TXEhz6rRPxAv55Ko3l,"2024-10-25 07:13:05",12,-,"Ya estoy harta fdj",,https://scontent.fkul8-4.fna.fbcdn.net/v/t39.30808-1/459035937_1041486127633126_2591181397125231907_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=100&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=kjsAxsAX--MQ7kNvgG_2W8f&_nc_zt=24&_nc_ht=scontent.fkul8-4.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAdqaTBMjVsx9J0_HT_oCJMrhOJLN4R1RiWbZN8x2nKwA&oe=6742CEBB,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/864930492287091
13,,"Jass Lourido",pfbid0hzXjLgQToK53ZwnhqGcg6F6iQou7fiUogCss7YjUZpfXenit6Hx7EkZ3KqotHeXil,"2024-10-25 07:13:13",20,-,"AQUÍ  LOS QUE NO VAN A VOTAR POR NOBITA",,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.30808-1/440948169_279224878591787_2345270457253076325_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=105&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=UOm4oYrzF5IQ7kNvgHJVeRT&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBbgB7rXq41dKMw_Oq7ioiHmCEKibL1-szVSo2IoBr1MQ&oe=6742DCCD,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/907285074878301
14,,"Peter Julio Sala",pfbid02mDc8cdNEfNwBCA2fXfHsDmDekNwjtHGep2udQrfjJnYHyYHvqj4X2syPUXf4ag73l,"2024-10-25 07:15:41",66,-,"Gracias florindos por tanto odio",,https://scontent.fkul8-4.fna.fbcdn.net/v/t39.30808-1/462792604_3005630389600114_1877910822502898716_n.jpg?stp=c355.0.1080.1080a_cp0_dst-jpg_s64x64&_nc_cat=100&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=MR0kFdLbs2IQ7kNvgHIsinF&_nc_zt=24&_nc_ht=scontent.fkul8-4.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYB5B3RyStZXDgC18WOTBX77cfFwePTiT0VZt701GT3ajA&oe=6742D2DB,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1727408928081794
15,,"Jos Ho-in Usami",pfbid02fpPgjNnc6enezAKh49pfBqMUQo9opSJvtQ1oyyxhRgP2tdehBePgNV1gjkzo2dvbl,"2024-10-25 07:16:46",3,-,"Cómo que toda la tarde sin luz que vaina y una que estudia virtual 💀",,https://scontent.fkul8-5.fna.fbcdn.net/v/t39.30808-1/416099841_771821638110934_721288813669098573_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=102&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=OyH8KoSthCEQ7kNvgFLvnXB&_nc_zt=24&_nc_ht=scontent.fkul8-5.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYCj-IULy2SRK4IuVdztNxG9U-uodF_1iZsT8ulBK62mNQ&oe=6742DE70,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1587644545162650
16,,"Luis E Galarza",pfbid033uKLDES77DKFiNMnUAHXPubdjebWr16f37CNcYaF7RmXKNmXWx9CfJixD11LtBxJl,"2024-10-25 07:19:23",14,-,"Vrg todo el día sin luz ya valimos carpeta",,https://scontent.fkul8-3.fna.fbcdn.net/v/t39.30808-1/462597538_8355122924586010_7499150259390966939_n.jpg?stp=cp6_dst-jpg_s64x64&_nc_cat=107&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=6ENtsqjUS48Q7kNvgFocPbx&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYBOVYISQ0XY8CdzJ8jXRteNKM2rTqb_oXKLlsL8ZqjvTg&oe=6742B4B4,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/604313902031402
17,,"Fernando Gualpa",pfbid02FW41C8958mQDvbcUwXghFjqqLqCyP3dK2q7jdn2H4xmBbbmZ4XgCJoD6Rq3Lwj2xl,"2024-10-25 07:28:17",7,-,"Ya toca mejor es emigrar con toda la familia a los estados unidos por el Darién no ahí control de los generadores se hacen más dinero 🫰 y el pueblo más pobre por estos ineptos desde moreno ,Lasso y bobita que nunca dieron mantenimiento era para sus amigos empresarios como la electricidad privadas y otras cosas mas",,https://scontent-sof1-2.xx.fbcdn.net/v/t39.30808-1/445568703_1599276304255259_3123278906627234995_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=103&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=SPb3w23zNDAQ7kNvgGW83wX&_nc_zt=24&_nc_ht=scontent-sof1-2.xx&_nc_gid=AWYzL2p1t1qz-UX0AKGDcgx&oh=00_AYAcjYz43kJFUUqmJK4ERSHVtyOB1Cvbwd5XgQEirBL_nw&oe=6742BB65,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/565823725914316
18,,"Mark Mendoza あ",pfbid0z2zzqQkHWHv6hUN8YUft7ZdvUYsnh8DhPH8XjAEnZbtWvNrM3ezNHPW2knqRck6Ul,"2024-10-25 07:33:20",78,-,"ese 52% destruyeron este país...",,https://scontent.fkul8-3.fna.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png_s64x64&_nc_cat=1&ccb=1-7&_nc_sid=136b72&_nc_ohc=bYLP8ChJYTYQ7kNvgFnuW_8&_nc_zt=24&_nc_ht=scontent.fkul8-3.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAfxP6fSY4hXfe3_bWYg5BemLsz80FeHor8u_Ul-DLw6A&oe=67644FBA,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/2513808442343556
19,,"James Moran",pfbid0LCrrucNFdgdEzW9MCcmGqB1hovGmXt66amc6VoFCn7shXCZxkv4TrSUjDocJHkHal,"2024-10-25 07:34:42",7,-,"Fuera Noboa, arrepentido de darle el voto a ese infeliz inservible",,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.30808-1/462162474_7870969823004105_8110457126078531464_n.jpg?stp=c152.0.410.412a_cp0_dst-jpg_s64x64&_nc_cat=110&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=i9BtGfagdTEQ7kNvgF6kG6C&_nc_zt=24&_nc_ht=scontent.fkul8-2.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYAyeD60lPSVKPq7N2w0D-8Gaz2jpihp-sULUUlU4xhD7A&oe=6742DB7F,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/1085469389829304
20,,"Charly Astudillo Guerrero",pfbid0xGfs9WZTdHVnbPoTVw7vdtyz9Bpy766impNCfLgMgeZKitqYP78neY3WV3GU5TtKl,"2024-10-25 07:36:34",14,-,"Me imagino que la Isla Mocoli si tiene luz las 24 horas... 😡",,https://scontent.fkul8-2.fna.fbcdn.net/v/t39.30808-1/438807934_10225454295531101_7458472338282646560_n.jpg?stp=cp0_dst-jpg_s64x64&_nc_cat=110&ccb=1-7&_nc_sid=0ecb9b&_nc_ohc=E9srqr4xS2wQ7kNvgGHAiaA&_nc_zt=24&_nc_ht=scontent.fkul8-2.fna&_nc_gid=ARFns1EcbLXvwEIBmCXsGG2&oh=00_AYDNClDzIZ8JzZGNk8ke_DgDJAsnc1fT6FOZhHEzc3RVww&oe=6742DC5C,,https://www.exportcomments.com/done/8e17d52a-7c28-443b-97dc-72c812831ee0/preview/533615882740141
