CIUDAD,NOMBRE,coddom,DOMINIO,ZONA,SECTOR,VIVIENDA,HOGAR,RV00,RV32,RV33,RV34,RV35,RV37,RV38,RV39,RV310,fexph,fexpp
20250,CHILLANES,202,CHILLANES,1,6,3,1,1,1,8,2,1,20250,5,,1.0,8.960633672,17.921267344
20250,CHILLANES,202,CHILLANES,1,6,7,1,1,1,6,2,1,160250,5,,1.0,8.960633672,17.921267344
20350,SAN JOSE DE CHIMBO,203,SAN JOSE DE CHIMBO,1,5,1,1,1,1,6,2,1,20350,5,,,9.818847214,39.275388856
20450,ECHEANDIA,204,ECHEANDIA,1,1,9,1,1,1,11,1,1,20450,5,,1.0,8.783590724,35.134362896
20450,ECHEANDIA,204,ECHEANDIA,1,4,13,1,1,1,7,2,1,20450,5,,1.0,8.783590724,17.567181448
20450,ECHEANDIA,204,ECHEANDIA,1,5,6,1,1,1,5,2,1,20450,5,,1.0,10.0383894,50.191947
20550,SAN MIGUEL,205,SAN MIGUEL,2,4,24,1,1,1,7,2,1,20550,5,,1.0,9.383442045,37.53376818
20650,CALUMA,206,CALUMA,1,6,20,1,1,1,3,2,1,20650,5,,1.0,10.34498949,20.68997898
20650,CALUMA,206,CALUMA,2,9,12,1,1,1,3,2,1,20650,5,,1.0,10.34498949,20.68997898
30150,AZOGUES,301,AZOGUES,1,2,17,1,1,1,6,2,1,30150,5,,1.0,9.142021876,36.568087504
30150,AZOGUES,301,AZOGUES,1,11,17,1,1,1,1,2,1,30150,5,,,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,2,3,15,1,1,1,8,1,1,30150,5,,1.0,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,2,3,16,1,1,1,7,2,1,30150,5,,1.0,9.142021876,36.568087504
30150,AZOGUES,301,AZOGUES,2,7,6,1,1,1,1,1,1,30150,5,,,9.142021876,9.142021876
30150,AZOGUES,301,AZOGUES,2,7,11,1,1,1,4,1,1,30150,5,,1.0,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,3,1,3,1,1,1,10,2,1,30150,5,,1.0,9.142021876,9.142021876
30150,AZOGUES,301,AZOGUES,3,3,18,1,1,1,12,1,1,30150,5,,1.0,9.539501088,38.158004352
30150,AZOGUES,301,AZOGUES,3,3,21,1,1,1,4,1,1,30150,5,,1.0,9.539501088,28.618503264
30150,AZOGUES,301,AZOGUES,3,8,2,1,1,1,1,1,1,30150,5,,1.0,9.539501088,38.158004352
30150,AZOGUES,301,AZOGUES,3,9,5,1,1,1,5,2,1,30150,5,,1.0,9.142021876,45.71010938
30150,AZOGUES,301,AZOGUES,4,3,13,1,1,1,11,2,1,30150,5,,1.0,9.539501088,19.079002176
30150,AZOGUES,301,AZOGUES,4,3,20,1,1,1,5,2,1,30150,5,,1.0,9.539501088,38.158004352
30150,AZOGUES,301,AZOGUES,4,6,2,1,1,1,11,2,1,30150,5,,1.0,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,4,6,11,1,1,1,4,2,1,30150,5,,1.0,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,5,8,3,1,1,1,9,1,1,30150,5,,,9.142021876,36.568087504
30150,AZOGUES,301,AZOGUES,5,8,16,1,1,1,12,2,1,30150,5,,1.0,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,6,3,19,1,1,1,5,2,1,30150,5,,1.0,9.142021876,27.426065628
30150,AZOGUES,301,AZOGUES,6,4,7,1,1,1,2,1,1,30150,5,,1.0,9.142021876,18.284043752
30150,AZOGUES,301,AZOGUES,6,4,13,1,1,1,11,2,1,30150,5,,1.0,9.142021876,27.426065628
30150,AZOGUES,301,AZOGUES,7,2,22,1,1,1,2,1,1,30150,5,,1.0,9.142021876,18.284043752
